season_year,year,week,farm,stage,field,shift,crop,variety,inspection_date,inspection_id,season,guideline_detail,berry_number,berry_caliber,sample_datetime,state_berry_caliber,thr_berry_caliber
2025,2025,7,C5,E01,C01,T01B,ARÁNDANO,,2025-02-13,24435f08-e597-4c28-9304-a673251374e5,2025-1,Frut. Cremoso,,8.0,2025-02-14 21:05:58,missing,
2025,2025,7,C5,E01,C01,T01B,ARÁNDANO,,2025-02-13,24435f08-e597-4c28-9304-a673251374e5,2025-1,Frut. Cremoso,,7.89,2025-02-14 21:06:51,missing,
2025,2025,7,C5,E01,C01,T01B,ARÁNDANO,,2025-02-13,25d538d4-12d5-4c55-bdf4-236b17326750,2025-1,Frut. Cremoso,,8.0,2025-02-14 21:05:58,missing,
2025,2025,7,C5,E01,C01,T01B,ARÁNDANO,,2025-02-13,25d538d4-12d5-4c55-bdf4-236b17326750,2025-1,Frut. Cremoso,,7.89,2025-02-14 21:06:51,missing,
2025,2025,17,C5,E01,C01,T01B,ARÁNDANO,,2025-04-23,9c965d8c-5dc4-4f16-971a-1cf4e2f55b1f,2025-1,Frut. Maduro,,8.14,2025-04-23 19:03:40,missing,
2025,2025,17,C5,E01,C01,T01B,ARÁNDANO,,2025-04-23,9c965d8c-5dc4-4f16-971a-1cf4e2f55b1f,2025-1,Frut. Cremoso,,8.0,2025-04-23 19:03:20,missing,
2025,2025,17,C5,E01,C01,T02B,ARÁNDANO,,2025-04-23,24eb49fa-9db3-4085-ab43-e4db3cc678b1,2025-1,Frut. Cremoso,,6.6,2025-04-23 19:04:24,missing,
2025,2025,25,C5,E02,C02,T02B,ARÁNDANO,,2025-06-19,725c3677-8028-4e29-a426-98993a265e94,2025-1,Frut. Maduro,,15.79,2025-06-19 16:35:56,missing,
2025,2025,25,C5,E02,C02,T02B,ARÁNDANO,,2025-06-19,725c3677-8028-4e29-a426-98993a265e94,2025-1,Frut. Cremoso,,15.13,2025-06-19 16:35:31,missing,
2025,2025,25,C5,E02,C02,T03G,ARÁNDANO,,2025-06-18,914b8203-6ca6-4bfb-a68b-458569dd3213,2025-1,Frut. Maduro,,18.54,2025-06-18 15:19:13,missing,
