season_year,year,week,farm,stage,field,shift,crop,variety,inspection_date,inspection_id,season,guideline_detail,berry_total_count,berry_precaliber_count,berry_weight,sample_datetime,precaliber_percentage,state_berry_weight,thr_berry_weight,state_precaliber_percentage,thr_precaliber_percentage
2025,2025,11,C5,E02,C02,T03G,ARÁNDANO,AZRA,2025-03-13,10724965,2025-1,FRUT. CREMOSO,,,,2025-03-13 20:20:49,,missing,4.8,,
2025,2025,11,C6,E05,C03,T02B,ARÁNDANO,TERRAPIN,2025-03-14,10726334,2025-1,FRUT. CREMOSO,,,,2025-03-14 16:33:16,,missing,4.0,,
2025,2025,12,C5,E02,C02,T03G,ARÁNDANO,AZRA,2025-03-18,10730235,2025-1,FRUT. CREMOSO,,,,2025-03-18 17:43:32,,missing,4.8,,
2025,2025,15,A9,E06,C05,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-04-11,10758152,2025-1,FRUT. MADURO,,,4.42,2025-04-11 20:45:14,,invalid,4.3,,
2025,2025,15,A9,E07,C05,T04B,ARÁNDANO,BIANCA,2025-04-08,10753445,2025-1,% PRE CALIBRE,609.0,35.0,,2025-04-08 21:25:52,0.057471264,,,invalid,0.05
2025,2025,16,A9,E06,C05,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-04-14,10760456,2025-1,FRUT. MADURO,,,4.5,2025-04-14 21:22:46,,invalid,4.3,,
2025,2025,16,A9,E07,C04,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-04-16,10763815,2025-1,FRUT. MADURO,,,4.31,2025-04-16 21:32:23,,invalid,4.3,,
2025,2025,16,C5,E03,C02,T04A,ARÁNDANO,VENTURA,2025-04-14,10760200,2025-1,% PRE CALIBRE,370.0,21.0,,2025-04-14 19:40:56,0.056756757,,,invalid,0.05
2025,2025,19,C5,E02,C01,T01A,ARÁNDANO,MÁGICA,2025-05-05,10783905,2025-1,FRUT. MADURO,,,,2025-05-05 16:03:11,,missing,4.0,,
2025,2025,19,C5,E02,C01,T02A,ARÁNDANO,MÁGICA,2025-05-05,10783906,2025-1,FRUT. MADURO,,,,2025-05-05 16:04:05,,missing,4.0,,
2025,2025,19,C5,E02,C01,T03A,ARÁNDANO,MÁGICA,2025-05-05,10783907,2025-1,FRUT. MADURO,,,,2025-05-05 16:05:00,,missing,4.0,,
2025,2025,19,LN,E02,C05,T01A,ARÁNDANO,SEKOYA POP ORGÁNICA,2025-05-08,10788955,2025-1,% PRE CALIBRE,213.0,15.0,,2025-05-08 20:02:38,0.07042254,,,invalid,0.05
2025,2025,19,LN,E02,C05,T04A,ARÁNDANO,SEKOYA POP ORGÁNICA,2025-05-06,10785760,2025-1,% PRE CALIBRE,152.0,8.0,,2025-05-06 20:57:49,0.05263158,,,invalid,0.05
2025,2025,20,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-05-13,10794948,2025-1,FRUT. MADURO,,,4.59,2025-05-13 21:37:36,,invalid,4.3,,
2025,2025,21,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-05-22,10807490,2025-1,FRUT. MADURO,,,4.42,2025-05-22 21:38:51,,invalid,4.3,,
2025,2025,22,A9,E06,C04,T01A,ARÁNDANO,SEKOYA BEAUTY,2025-05-30,10818287,2025-1,FRUT. MADURO,,,4.35,2025-05-30 20:24:14,,invalid,4.3,,
2025,2025,23,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-04,10825020,2025-1,FRUT. MADURO,,,4.42,2025-06-04 20:14:23,,invalid,4.3,,
2025,2025,23,A9,E06,C05,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-06-04,10825021,2025-1,FRUT. MADURO,,,4.39,2025-06-04 20:15:22,,invalid,4.3,,
2025,2025,24,A9,E06,C04,T01A,ARÁNDANO,SEKOYA BEAUTY,2025-06-12,10836145,2025-1,FRUT. MADURO,,,4.31,2025-06-12 20:47:19,,invalid,4.3,,
2025,2025,24,A9,E06,C04,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-12,10836146,2025-1,FRUT. MADURO,,,4.42,2025-06-12 20:47:57,,invalid,4.3,,
2025,2025,24,A9,E06,C04,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-14,10839169,2025-1,FRUT. MADURO,,,4.39,2025-06-14 18:36:04,,invalid,4.3,,
2025,2025,24,A9,E06,C04,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-06-13,10837914,2025-1,FRUT. MADURO,,,4.5,2025-06-13 20:29:22,,invalid,4.3,,
2025,2025,24,A9,E06,C04,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-06-14,10839170,2025-1,FRUT. MADURO,,,4.46,2025-06-14 18:36:27,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T01A,ARÁNDANO,SEKOYA BEAUTY,2025-06-14,10839171,2025-1,FRUT. MADURO,,,4.63,2025-06-14 18:37:00,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T02A,ARÁNDANO,SEKOYA BEAUTY,2025-06-14,10839172,2025-1,FRUT. MADURO,,,4.46,2025-06-14 18:37:24,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-10,10832762,2025-1,FRUT. MADURO,,,4.63,2025-06-10 20:13:09,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-11,10834422,2025-1,FRUT. MADURO,,,4.55,2025-06-11 20:17:05,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-12,10836147,2025-1,FRUT. MADURO,,,4.55,2025-06-12 20:48:22,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T03A,ARÁNDANO,SEKOYA BEAUTY,2025-06-13,10837915,2025-1,FRUT. MADURO,,,4.81,2025-06-13 20:30:08,,invalid,4.3,,
2025,2025,24,A9,E06,C05,T04A,ARÁNDANO,SEKOYA BEAUTY,2025-06-10,10832763,2025-1,FRUT. MADURO,,,4.35,2025-06-10 20:13:38,,invalid,4.3,,
