season_year,year,week,farm,stage,field,shift,batch,crop,variety,row_number,plant_number,plant_number_row,inspection_date,inspection_id,season,closed_flower_count,open_flower_count,set_fruit_count,green_fruit_count,sample_datetime,total_flower_count,state_total_flower_count,state_set_fruit_count,state_green_fruit_count,thr_total_flower_count,thr_set_fruit_count,thr_green_fruit_count
2025,2025,10,C5,E03,C06,T02A,6012,ARÁNDANO,ATLAS,,,,2025-03-07,10718598,2025-1,,,,,2025-03-07 13:58:56,,missing,missing,missing,200.0,200.0,2000.0
2025,2025,11,C6,E05,C01,T01C,1004,ARÁNDANO,MÁGICA,51,108,62,2025-03-10,10720801,2025-1,0,0,,0,2025-03-10 15:30:06,0,valid,missing,valid,500.0,500.0,4000.0
2025,2025,14,C5,E01,C03,T04B,3011,ARÁNDANO,SEKOYA POP,143,235,40,2025-04-02,10747324,2025-1,11,11,9,,2025-04-02 18:32:25,22,valid,valid,missing,400.0,400.0,2000.0
2025,2025,15,A9,E07,C04,T05B,4022,,,144,51,20,2025-04-09,10755347,2025-1,0,0,0,0,2025-04-09 22:15:26,0,missing,missing,missing,,,
2025,2025,15,A9,E07,C04,T05B,4022,,,145,52,20,2025-04-09,10755347,2025-1,0,0,0,0,2025-04-09 22:31:34,0,missing,missing,missing,,,
2025,2025,19,C5,E02,C02,T03G,2011,ARÁNDANO,AZRA,134,6,58,2025-05-05,10784530,2025-1,45,0,402,582,2025-05-05 16:31:46,45,valid,invalid,valid,400.0,400.0,2000.0
2025,2025,21,C5,E02,C02,T02B,2006,ARÁNDANO,BIANCA,102,68,2,2025-05-20,10804043,2025-1,245,0,0,0,2025-05-20 20:53:33,245,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,21,C5,E02,C02,T02B,2007,ARÁNDANO,BIANCA,85,57,20,2025-05-20,10804042,2025-1,205,0,0,0,2025-05-20 21:22:57,205,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,21,C5,E02,C02,T02B,2008,ARÁNDANO,BIANCA,85,58,2,2025-05-20,10804041,2025-1,203,0,0,0,2025-05-20 21:23:55,203,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,21,C5,E02,C02,T04J,2015,ARÁNDANO,KEECRISP,125,1,54,2025-05-20,10804146,2025-1,70,4,732,75,2025-05-20 20:13:45,74,valid,invalid,valid,500.0,500.0,2000.0
2025,2025,21,C5,E02,C02,T04K,2015,ARÁNDANO,AVANTI,133,1,56,2025-05-20,10804037,2025-1,20,5,217,30,2025-05-20 18:46:56,25,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,21,LN,E02,C05,T04A,5017,ARÁNDANO,SEKOYA POP ORGÁNICA,106,170,127,2025-05-20,10804263,2025-1,101,102,117,120,2025-05-20 20:58:22,203,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,22,C5,E02,C04,T02B,4008,ARÁNDANO,ROSITA,17,11,19,2025-05-26,10811669,2025-1,190,47,140,30,2025-05-26 14:50:06,237,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,22,C5,E02,C04,T03B,4013,ARÁNDANO,ROSITA,223,126,108,2025-05-28,10815185,2025-1,187,50,24,0,2025-05-28 13:44:28,237,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,154,15,32,2025-05-27,10813507,2025-1,345,105,115,144,2025-05-27 15:26:50,450,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,187,37,67,2025-05-28,10815387,2025-1,294,274,187,160,2025-05-28 20:45:36,568,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,221,61,101,2025-05-29,10816922,2025-1,312,152,149,199,2025-05-29 16:33:16,464,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,170,31,50,2025-05-29,10816921,2025-1,371,164,149,182,2025-05-29 18:43:57,535,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,187,40,67,2025-05-28,10815386,2025-1,299,146,224,114,2025-05-28 20:06:04,445,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,222,66,97,2025-05-29,10816921,2025-1,304,150,176,398,2025-05-29 15:16:31,454,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,137,3,18,2025-05-26,10811915,2025-1,363,91,222,178,2025-05-26 18:42:20,454,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,187,46,67,2025-05-27,10813394,2025-1,590,214,133,144,2025-05-27 18:00:22,804,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,22,LN,E02,C05,T04A,5017,ARÁNDANO,SEKOYA POP ORGÁNICA,106,170,127,2025-05-27,10814058,2025-1,57,40,203,217,2025-05-27 16:04:35,97,valid,invalid,valid,200.0,200.0,2000.0
